Name,Total Paid Claims,Total Claim Dollars Paid
Bibb,0,$0.00
Baldwin,3,$153968.99
Crenshaw,0,$0.00
Lowndes,0,$0.00
Winston,0,$0.00
Franklin,0,$0.00
Limestone,0,$0.00
Lawrence,0,$0.00
Covington,0,$0.00
Geneva,0,$0.00
Marshall,0,$0.00
Jackson,0,$0.00
Blount,0,$0.00
Etowah,0,$0.00
Butler,0,$0.00
Escambia,0,$0.00
Monroe,0,$0.00
Wilcox,0,$0.00
Lauderdale,0,$0.00
Colbert,2,$86345.20
Perry,0,$0.00
Marengo,0,$0.00
Pickens,0,$0.00
Sumter,2,$106293.05
Mobile,4,$56187.08
Greene,0,$0.00
Dallas,1,$4746.76
Autauga,0,$0.00
Montgomery,0,$0.00
Jefferson,5,$467249.82
Chilton,0,$0.00
Washington,0,$0.00
Choctaw,1,$2519.33
Coffee,0,$0.00
Cleburne,0,$0.00
Talladega,0,$0.00
Cullman,0,$0.00
Dale,0,$0.00
Cherokee,0,$0.00
Pike,0,$0.00
Conecuh,0,$0.00
Tallapoosa,0,$0.00
Randolph,0,$0.00
Coosa,0,$0.00
Clay,0,$0.00
Marion,0,$0.00
Walker,0,$0.00
Bullock,0,$0.00
Russell,0,$0.00
Shelby,0,$0.00
Hale,0,$0.00
Lee,1,$28339.66
Madison,10,$1112656.34
Clarke,0,$0.00
Calhoun,0,$0.00
Morgan,0,$0.00
Chambers,3,$46779.69
Henry,1,$231100.53
Houston,1,$6608.30
DeKalb,0,$0.00
Barbour,0,$0.00
Fayette,0,$0.00
Tuscaloosa,1,$31993.96
Macon,1,$31548.67
Lamar,0,$0.00
St. Clair,0,$0.00
Elmore,1,$203695.65
