Name,Total Paid Claims,Total Claim Dollars Paid
Santa Barbara,0,$0.00
Ventura,0,$0.00
San Bernardino,0,$0.00
Yuba,0,$0.00
Sutter,0,$0.00
Kings,0,$0.00
Monterey,0,$0.00
Nevada,0,$0.00
Orange,4,$12552.49
Riverside,1,$6468.30
San Diego,2,$7150.33
Marin,1,$45347.39
San Francisco,0,$0.00
Solano,0,$0.00
Sonoma,2,$12939.31
Napa,0,$0.00
Contra Costa,0,$0.00
Calaveras,0,$0.00
San Joaquin,0,$0.00
Lassen,0,$0.00
Sierra,0,$0.00
Sacramento,0,$0.00
El Dorado,0,$0.00
Stanislaus,0,$0.00
Placer,0,$0.00
Mariposa,0,$0.00
Plumas,0,$0.00
Modoc,0,$0.00
Shasta,0,$0.00
Tuolumne,0,$0.00
Madera,0,$0.00
Alpine,0,$0.00
San Benito,0,$0.00
Merced,0,$0.00
San Luis Obispo,0,$0.00
Colusa,0,$0.00
Butte,0,$0.00
San Mateo,8,$26460.44
Santa Cruz,1,$515.00
Santa Clara,0,$0.00
Kern,0,$0.00
Amador,0,$0.00
Yolo,0,$0.00
Lake,0,$0.00
Mendocino,0,$0.00
Tehama,2,$8603.06
Humboldt,0,$0.00
Siskiyou,0,$0.00
Inyo,0,$0.00
Alameda,1,$1988.25
Los Angeles,10,$53070.51
Imperial,0,$0.00
Glenn,0,$0.00
Tulare,0,$0.00
Fresno,1,$85.00
Del Norte,0,$0.00
Trinity,0,$0.00
Mono,0,$0.00
