Name,Total Paid Claims,Total Claim Dollars Paid
Larimer,1,$850.00
Boulder,5,$59391.68
Broomfield,0,$0.00
Crowley,0,$0.00
Pueblo,0,$0.00
El Paso,4,$7798.31
Kit Carson,0,$0.00
Lincoln,0,$0.00
Saguache,0,$0.00
Alamosa,0,$0.00
Jefferson,3,$1679.45
Chaffee,0,$0.00
Fremont,0,$0.00
Arapahoe,1,$34.24
Denver,2,$40789.82
Garfield,0,$0.00
Weld,1,$9807.92
Logan,0,$0.00
Sedgwick,0,$0.00
Bent,0,$0.00
Hinsdale,0,$0.00
Ouray,0,$0.00
San Miguel,0,$0.00
Las Animas,0,$0.00
Adams,5,$21869.67
Washington,0,$0.00
Jackson,0,$0.00
Archuleta,0,$0.00
Rio Grande,0,$0.00
Douglas,0,$0.00
Teller,0,$0.00
Yuma,0,$0.00
Park,0,$0.00
Lake,1,$2582.02
Huerfano,0,$0.00
Pitkin,2,$9778.28
Routt,8,$310516.22
Mesa,3,$8192.02
Gunnison,0,$0.00
Morgan,0,$0.00
Baca,0,$0.00
Grand,0,$0.00
Gilpin,0,$0.00
San Juan,0,$0.00
Conejos,0,$0.00
Summit,1,$4794.28
Dolores,0,$0.00
Costilla,0,$0.00
Elbert,0,$0.00
Kiowa,0,$0.00
Otero,0,$0.00
Mineral,0,$0.00
Custer,0,$0.00
Eagle,2,$27330.59
Montrose,0,$0.00
Phillips,0,$0.00
Delta,0,$0.00
Prowers,0,$0.00
Moffat,0,$0.00
Montezuma,0,$0.00
Rio Blanco,1,$7078.98
Cheyenne,0,$0.00
La Plata,0,$0.00
Clear Creek,0,$0.00
