Name,Total Paid Claims,Total Claim Dollars Paid
Walton,0,$0.00
Monroe,19,$183507.10
Hernando,4,$30493.58
Hendry,0,$0.00
Glades,0,$0.00
Miami-Dade,100,$1117907.01
Franklin,1,$860.20
Osceola,0,$0.00
Okeechobee,0,$0.00
Lee,1263,$17611518.44
St. Lucie,7,$63708.75
Indian River,4,$57926.22
Martin,144,$2017426.45
Collier,111,$1953694.99
Hardee,7,$153532.96
Highlands,2,$10484.88
DeSoto,42,$767676.59
Charlotte,273,$3670366.63
Brevard,20,$173080.68
Orange,8,$22671.59
Wakulla,1,$1720.94
Washington,0,$0.00
Bay,5,$71759.29
Bradford,0,$0.00
Putnam,42,$677257.53
Duval,66,$806273.72
Baker,0,$0.00
Clay,12,$107366.14
Jackson,0,$0.00
Pinellas,62,$340373.74
Hillsborough,83,$1171469.90
Flagler,27,$193320.30
Gulf,3,$26409.32
Jefferson,0,$0.00
Manatee,205,$3430389.58
Pasco,28,$68583.04
Sarasota,212,$3828461.34
Leon,122,$1926891.35
Escambia,7,$186092.42
Santa Rosa,0,$0.00
Broward,166,$1144033.59
Nassau,0,$0.00
Liberty,0,$0.00
Polk,6,$32375.43
Gilchrist,0,$0.00
Lafayette,0,$0.00
Volusia,130,$1558324.21
Suwannee,0,$0.00
Marion,0,$0.00
Citrus,2,$20804.54
Levy,5,$15332.07
Holmes,0,$0.00
Madison,0,$0.00
Dixie,0,$0.00
Seminole,2,$20600.98
Lake,5,$21411.25
Okaloosa,3,$9922.19
Alachua,0,$0.00
Union,0,$0.00
Calhoun,0,$0.00
Taylor,0,$0.00
Sumter,1,$8871.58
St. Johns,74,$1052550.93
Palm Beach,52,$727063.94
Hamilton,0,$0.00
Columbia,0,$0.00
Gadsden,2,$5140.22
