Name,Total Paid Claims,Total Claim Dollars Paid
Walker,0,$0.00
Sumter,0,$0.00
Liberty,54,$2160746.29
Appling,1,$3580.01
Toombs,0,$0.00
Clay,0,$0.00
Calhoun,0,$0.00
Coweta,0,$0.00
Meriwether,0,$0.00
Bleckley,0,$0.00
Laurens,0,$0.00
Screven,0,$0.00
Burke,0,$0.00
Troup,0,$0.00
Harris,0,$0.00
Murray,0,$0.00
Decatur,0,$0.00
Grady,0,$0.00
Crisp,0,$0.00
Turner,0,$0.00
Lamar,0,$0.00
Pike,0,$0.00
Douglas,0,$0.00
Cobb,5,$63889.69
Macon,0,$0.00
Schley,0,$0.00
Taylor,0,$0.00
Jackson,0,$0.00
Pierce,0,$0.00
Wayne,0,$0.00
Carroll,0,$0.00
Paulding,2,$15195.69
Bartow,0,$0.00
Bacon,0,$0.00
Ware,4,$52719.01
Floyd,2,$35275.70
Polk,0,$0.00
Peach,0,$0.00
Crawford,0,$0.00
Fulton,43,$1121387.06
Clayton,1,$4369.72
Baldwin,0,$0.00
Jones,0,$0.00
Heard,0,$0.00
Miller,0,$0.00
Seminole,0,$0.00
Hall,0,$0.00
Lumpkin,0,$0.00
Forsyth,0,$0.00
Dawson,0,$0.00
Cherokee,0,$0.00
Bibb,1,$4613.50
Houston,0,$0.00
Pulaski,0,$0.00
Putnam,0,$0.00
White,0,$0.00
Richmond,2,$21420.24
Jefferson,0,$0.00
Lincoln,0,$0.00
McDuffie,0,$0.00
Elbert,0,$0.00
Wilkes,0,$0.00
Habersham,0,$0.00
Rockdale,0,$0.00
Gwinnett,8,$322071.98
Treutlen,0,$0.00
Clinch,0,$0.00
Lowndes,0,$0.00
Jenkins,0,$0.00
Worth,1,$2232.91
Glynn,680,$29119357.40
McIntosh,22,$678385.74
Monroe,1,$39664.22
Oglethorpe,0,$0.00
Oconee,0,$0.00
Brooks,0,$0.00
Twiggs,0,$0.00
Mitchell,0,$0.00
Franklin,0,$0.00
Dougherty,4,$84204.84
Jeff Davis,1,$20617.32
Telfair,0,$0.00
Wilcox,0,$0.00
Dooly,0,$0.00
Towns,0,$0.00
Muscogee,4,$43405.81
Talbot,0,$0.00
Taliaferro,0,$0.00
Hancock,0,$0.00
Ben Hill,0,$0.00
Barrow,0,$0.00
Walton,0,$0.00
Hart,0,$0.00
Madison,0,$0.00
Atkinson,0,$0.00
Lanier,0,$0.00
Echols,0,$0.00
Berrien,0,$0.00
Tift,0,$0.00
Upson,0,$0.00
Marion,0,$0.00
Stewart,0,$0.00
Terrell,0,$0.00
Lee,0,$0.00
Newton,1,$4831.33
Morgan,0,$0.00
Clarke,0,$0.00
Chattahoochee,0,$0.00
Banks,0,$0.00
Effingham,1,$35315.33
Bryan,23,$1034072.25
Irwin,1,$1432.34
Evans,0,$0.00
Bulloch,2,$42667.50
Dodge,0,$0.00
Wheeler,0,$0.00
Haralson,0,$0.00
Coffee,3,$77902.73
Tattnall,1,$1984.77
Gordon,0,$0.00
Gilmer,0,$0.00
Fannin,0,$0.00
Wilkinson,0,$0.00
Johnson,0,$0.00
Glascock,0,$0.00
Montgomery,0,$0.00
DeKalb,31,$499931.92
Henry,2,$4787.40
Randolph,0,$0.00
Webster,0,$0.00
Spalding,0,$0.00
Butts,0,$0.00
Camden,131,$4244179.72
Dade,0,$0.00
Chatham,804,$28546922.99
Columbia,15,$223850.03
Rabun,0,$0.00
Long,2,$19346.84
Baker,0,$0.00
Thomas,0,$0.00
Early,0,$0.00
Chattooga,0,$0.00
Union,0,$0.00
Stephens,0,$0.00
Catoosa,9,$181901.04
Emanuel,0,$0.00
Colquitt,0,$0.00
Quitman,0,$0.00
Brantley,0,$0.00
Charlton,3,$287991.33
Pickens,0,$0.00
Washington,0,$0.00
Greene,0,$0.00
Jasper,0,$0.00
Warren,0,$0.00
Fayette,4,$65412.23
Cook,0,$0.00
Candler,0,$0.00
Whitfield,0,$0.00
