Name,Total Paid Claims,Total Claim Dollars Paid
Owyhee,0,$0.00
Latah,1,$2902.86
Ada,4,$16857.35
Twin Falls,0,$0.00
Oneida,0,$0.00
Cassia,0,$0.00
Clearwater,1,$5979.95
Power,0,$0.00
Bingham,0,$0.00
Caribou,0,$0.00
Madison,0,$0.00
Jefferson,0,$0.00
Bonneville,0,$0.00
Clark,0,$0.00
Kootenai,3,$43007.69
Benewah,1,$10726.61
Boundary,0,$0.00
Valley,0,$0.00
Lemhi,0,$0.00
Canyon,0,$0.00
Lewis,0,$0.00
Fremont,0,$0.00
Boise,0,$0.00
Washington,0,$0.00
Custer,0,$0.00
Adams,0,$0.00
Elmore,0,$0.00
Camas,0,$0.00
Idaho,0,$0.00
Gem,0,$0.00
Blaine,1,$10334.35
Nez Perce,0,$0.00
Butte,0,$0.00
Bannock,0,$0.00
Bear Lake,0,$0.00
Lincoln,0,$0.00
Payette,0,$0.00
Minidoka,0,$0.00
Shoshone,2,$21719.60
Jerome,0,$0.00
Franklin,0,$0.00
Teton,1,$5464.07
Bonner,1,$33095.83
Gooding,0,$0.00
