Name,Total Paid Claims,Total Claim Dollars Paid
Alexander,0,$0.00
Union,0,$0.00
Warren,0,$0.00
McDonough,0,$0.00
Piatt,0,$0.00
McLean,0,$0.00
Whiteside,1,$1523.70
Kane,2,$24879.55
DuPage,2,$4647.82
Madison,4,$23869.14
Jersey,1,$3506.97
White,0,$0.00
Gallatin,0,$0.00
Champaign,0,$0.00
Ford,0,$0.00
Douglas,0,$0.00
Edgar,0,$0.00
Boone,1,$3028.16
Winnebago,53,$458252.64
Putnam,0,$0.00
LaSalle,0,$0.00
Marion,0,$0.00
Clay,0,$0.00
Will,1,$206.11
Effingham,0,$0.00
Fayette,0,$0.00
Cumberland,1,$6884.69
St. Clair,6,$168121.80
Clinton,1,$2635.85
Washington,0,$0.00
Perry,0,$0.00
Stark,0,$0.00
Henry,6,$43153.55
Marshall,0,$0.00
Peoria,0,$0.00
Bureau,0,$0.00
Lee,1,$4904.03
Coles,0,$0.00
DeKalb,0,$0.00
Kendall,3,$25894.20
De Witt,0,$0.00
Logan,0,$0.00
Menard,0,$0.00
Randolph,0,$0.00
Jackson,1,$21471.99
Woodford,0,$0.00
Livingston,0,$0.00
Fulton,0,$0.00
Henderson,0,$0.00
Montgomery,0,$0.00
Greene,0,$0.00
Pike,0,$0.00
Cass,0,$0.00
Brown,0,$0.00
Morgan,0,$0.00
Macoupin,3,$29292.68
Bond,0,$0.00
Wayne,0,$0.00
Sangamon,0,$0.00
Pulaski,0,$0.00
Massac,0,$0.00
Hamilton,0,$0.00
Edwards,0,$0.00
Shelby,0,$0.00
Macon,0,$0.00
Christian,1,$3176.97
Cook,15,$53542.98
Mercer,0,$0.00
Vermilion,0,$0.00
Wabash,0,$0.00
Lawrence,0,$0.00
McHenry,15,$103737.56
Tazewell,0,$0.00
Franklin,0,$0.00
Jefferson,0,$0.00
Ogle,13,$162918.10
Hancock,0,$0.00
Schuyler,0,$0.00
Jasper,0,$0.00
Clark,0,$0.00
Kankakee,2,$5778.27
Mason,0,$0.00
Richland,0,$0.00
Saline,0,$0.00
Hardin,1,$599.40
Pope,0,$0.00
Monroe,0,$0.00
Stephenson,5,$25664.94
Rock Island,26,$356572.22
Adams,0,$0.00
Iroquois,1,$765.07
Johnson,0,$0.00
Knox,0,$0.00
Calhoun,0,$0.00
Scott,0,$0.00
Carroll,0,$0.00
Grundy,0,$0.00
Jo Daviess,0,$0.00
Williamson,0,$0.00
Crawford,0,$0.00
Lake,22,$222818.04
Moultrie,0,$0.00
