Name,Total Paid Claims,Total Claim Dollars Paid
Alexander,15,$154662.52
Union,15,$188055.39
Warren,3,$73660.77
McDonough,2,$10672.24
Piatt,6,$101112.60
McLean,7,$199654.92
Whiteside,5,$22853.25
Kane,73,$1607537.59
DuPage,360,$10975181.21
Madison,30,$530865.86
Jersey,122,$4595243.77
White,2,$116412.45
Gallatin,1,$36900.00
Champaign,23,$360302.72
Ford,0,$0.00
Douglas,14,$132678.28
Edgar,1,$5134.88
Boone,1,$26342.84
Winnebago,286,$9171612.76
Putnam,5,$115038.68
LaSalle,100,$2992516.92
Marion,1,$5569.67
Clay,0,$0.00
Will,126,$2322697.92
Effingham,0,$0.00
Fayette,0,$0.00
Cumberland,0,$0.00
St. Clair,35,$176699.56
Clinton,0,$0.00
Washington,0,$0.00
Perry,2,$12595.78
Stark,0,$0.00
Henry,11,$93771.82
Marshall,5,$71599.44
Peoria,85,$1424796.47
Bureau,4,$21452.60
Lee,4,$28271.97
Coles,8,$257690.45
DeKalb,29,$489226.20
Kendall,19,$677115.40
De Witt,3,$13006.72
Logan,3,$16393.71
Menard,3,$5142.89
Randolph,0,$0.00
Jackson,29,$120591.35
Woodford,18,$250917.44
Livingston,134,$1587936.40
Fulton,2,$37807.58
Henderson,114,$7286930.19
Montgomery,3,$146691.22
Greene,1,$401.42
Pike,7,$192516.25
Cass,2,$22985.11
Brown,3,$99678.30
Morgan,2,$11319.38
Macoupin,2,$11386.61
Bond,0,$0.00
Wayne,0,$0.00
Sangamon,10,$101599.52
Pulaski,3,$18782.02
Massac,1,$2467.00
Hamilton,0,$0.00
Edwards,0,$0.00
Shelby,0,$0.00
Macon,24,$370292.87
Christian,0,$0.00
Cook,1711,$33740074.05
Mercer,18,$557525.44
Vermilion,12,$474815.47
Wabash,0,$0.00
Lawrence,2,$61327.88
McHenry,18,$89062.26
Tazewell,4,$14580.94
Franklin,9,$163457.21
Jefferson,0,$0.00
Ogle,3,$29831.85
Hancock,77,$4587639.84
Schuyler,0,$0.00
Jasper,2,$96539.23
Clark,5,$26212.83
Kankakee,102,$2301892.86
Mason,2,$6200.01
Richland,0,$0.00
Saline,1,$28301.48
Hardin,0,$0.00
Pope,0,$0.00
Monroe,2,$3727.50
Stephenson,3,$8465.01
Rock Island,188,$3090320.55
Adams,71,$4935185.50
Iroquois,268,$7171730.70
Johnson,2,$12123.89
Knox,2,$80393.99
Calhoun,74,$1681744.21
Scott,2,$7169.71
Carroll,1,$1786.50
Grundy,40,$1250779.72
Jo Daviess,11,$59998.35
Williamson,29,$382464.50
Crawford,11,$376800.81
Lake,79,$548730.35
Moultrie,4,$97149.72
