Name,Total Paid Claims,Total Claim Dollars Paid
Rush,0,$0.00
Decatur,0,$0.00
Starke,0,$0.00
Marshall,0,$0.00
DeKalb,0,$0.00
Steuben,0,$0.00
Floyd,0,$0.00
Clark,0,$0.00
White,6,$66491.26
Pulaski,0,$0.00
Sullivan,0,$0.00
Clay,0,$0.00
Fountain,0,$0.00
Vermillion,1,$4583.52
Elkhart,0,$0.00
LaGrange,0,$0.00
Lawrence,0,$0.00
Jackson,0,$0.00
Warren,0,$0.00
Parke,1,$6138.73
Vigo,10,$107069.32
Carroll,36,$769173.78
Henry,0,$0.00
Madison,38,$421859.93
Grant,6,$140379.10
Huntington,6,$82778.20
Allen,129,$3000189.19
Tippecanoe,36,$843914.42
Clinton,1,$26405.59
Tipton,16,$224276.01
Howard,93,$1763135.29
Hamilton,69,$921317.70
Hancock,2,$2889.11
Newton,9,$74219.66
Jasper,12,$147524.33
Randolph,2,$3779.71
Delaware,31,$579956.07
Bartholomew,2,$17874.45
Johnson,0,$0.00
Brown,1,$2030.27
Greene,0,$0.00
Morgan,23,$425473.32
Putnam,1,$1340.93
Monroe,0,$0.00
Ripley,1,$16094.85
Fulton,0,$0.00
Wabash,1,$8578.02
Noble,1,$3612.97
Jay,3,$8674.95
Fayette,0,$0.00
Daviess,0,$0.00
Martin,0,$0.00
Miami,1,$5801.66
Wells,18,$435808.05
Blackford,0,$0.00
Jennings,0,$0.00
Scott,0,$0.00
Ohio,0,$0.00
Dearborn,0,$0.00
Washington,0,$0.00
Montgomery,0,$0.00
Hendricks,12,$95547.14
Shelby,0,$0.00
Marion,300,$3081236.66
Boone,0,$0.00
St. Joseph,0,$0.00
Dubois,0,$0.00
Orange,0,$0.00
Crawford,0,$0.00
Knox,0,$0.00
Warrick,3,$6781.28
Vanderburgh,7,$61387.51
Gibson,0,$0.00
Lake,7,$23368.54
Benton,0,$0.00
Pike,0,$0.00
Switzerland,0,$0.00
Perry,0,$0.00
Union,2,$26064.62
Spencer,0,$0.00
Adams,64,$1114250.97
Posey,0,$0.00
Harrison,0,$0.00
Cass,12,$88144.51
Kosciusko,0,$0.00
Franklin,0,$0.00
Owen,6,$48592.84
Jefferson,2,$3660.40
LaPorte,0,$0.00
Porter,0,$0.00
Wayne,1,$67021.41
Whitley,1,$2405.47
