Name,Total Paid Claims,Total Claim Dollars Paid
Marion,1,$10692.21
Mahaska,0,$0.00
Clay,0,$0.00
O'Brien,0,$0.00
Pocahontas,0,$0.00
Webster,0,$0.00
Calhoun,0,$0.00
Adair,0,$0.00
Union,0,$0.00
Louisa,0,$0.00
Henry,0,$0.00
Washington,0,$0.00
Jefferson,0,$0.00
Lyon,0,$0.00
Osceola,0,$0.00
Polk,33,$2188541.73
Boone,1,$3493.59
Poweshiek,0,$0.00
Keokuk,0,$0.00
Wapello,0,$0.00
Palo Alto,0,$0.00
Emmet,0,$0.00
Hamilton,0,$0.00
Cerro Gordo,0,$0.00
Franklin,0,$0.00
Story,1,$2888.08
Crawford,0,$0.00
Harrison,0,$0.00
Madison,0,$0.00
Tama,0,$0.00
Black Hawk,0,$0.00
Clarke,0,$0.00
Benton,0,$0.00
Buchanan,0,$0.00
Warren,1,$64654.59
Lucas,0,$0.00
Jasper,0,$0.00
Adams,0,$0.00
Jones,0,$0.00
Dubuque,0,$0.00
Delaware,0,$0.00
Pottawattamie,19,$259163.28
Montgomery,0,$0.00
Cass,1,$1178.41
Page,1,$1150.82
Mills,0,$0.00
Hancock,0,$0.00
Wright,0,$0.00
Sac,0,$0.00
Carroll,0,$0.00
Linn,2,$4709.04
Bremer,0,$0.00
Chickasaw,0,$0.00
Floyd,0,$0.00
Fayette,0,$0.00
Clayton,0,$0.00
Winnebago,0,$0.00
Worth,0,$0.00
Buena Vista,0,$0.00
Cherokee,1,$8800.40
Woodbury,0,$0.00
Monroe,0,$0.00
Johnson,1,$4591.96
Van Buren,0,$0.00
Lee,0,$0.00
Hardin,0,$0.00
Marshall,0,$0.00
Audubon,0,$0.00
Shelby,0,$0.00
Cedar,0,$0.00
Clinton,5,$38225.89
Butler,0,$0.00
Mitchell,0,$0.00
Iowa,0,$0.00
Greene,0,$0.00
Dallas,5,$79686.22
Guthrie,1,$9874.51
Winneshiek,0,$0.00
Monona,0,$0.00
Ida,0,$0.00
Appanoose,0,$0.00
Grundy,0,$0.00
Dickinson,0,$0.00
Muscatine,2,$14011.30
Taylor,0,$0.00
Plymouth,0,$0.00
Kossuth,0,$0.00
Decatur,0,$0.00
Ringgold,0,$0.00
Davis,0,$0.00
Wayne,0,$0.00
Des Moines,9,$428340.89
Scott,1,$4067.61
Jackson,0,$0.00
Humboldt,0,$0.00
Fremont,0,$0.00
Sioux,0,$0.00
Howard,0,$0.00
Allamakee,0,$0.00
