Name,Total Paid Claims,Total Claim Dollars Paid
Hancock,0,$0.00
Ohio,1,$32253.67
McLean,2,$99882.52
Boyd,2,$43032.68
Greenup,17,$420566.64
Graves,1,$9927.19
Marshall,0,$0.00
Oldham,4,$67086.56
Jefferson,11,$112139.27
Bullitt,0,$0.00
Bourbon,12,$196615.77
Clark,1,$8234.37
Montgomery,2,$14397.39
Butler,0,$0.00
Grayson,0,$0.00
Casey,2,$71574.14
Russell,0,$0.00
Marion,0,$0.00
Nelson,1,$118565.60
Pulaski,2,$62197.83
Muhlenberg,0,$0.00
Lee,0,$0.00
Wolfe,0,$0.00
Powell,0,$0.00
Owen,0,$0.00
Carroll,0,$0.00
Woodford,0,$0.00
Scott,0,$0.00
Hopkins,1,$5388.13
Logan,0,$0.00
Gallatin,0,$0.00
Boone,0,$0.00
Garrard,0,$0.00
Boyle,0,$0.00
Washington,5,$124507.41
Trigg,0,$0.00
Perry,4,$67800.92
Clay,1,$43586.76
Jackson,0,$0.00
Menifee,0,$0.00
Rowan,0,$0.00
Edmonson,0,$0.00
Caldwell,0,$0.00
Webster,0,$0.00
Adair,0,$0.00
Green,0,$0.00
Trimble,0,$0.00
Mercer,0,$0.00
Jessamine,0,$0.00
Hardin,0,$0.00
Hart,0,$0.00
Shelby,0,$0.00
Monroe,0,$0.00
Allen,0,$0.00
Bracken,0,$0.00
Robertson,0,$0.00
Fleming,0,$0.00
Pike,4,$169575.88
Knott,0,$0.00
Breathitt,0,$0.00
Floyd,24,$802142.39
Martin,0,$0.00
Laurel,0,$0.00
McCreary,0,$0.00
Pendleton,1,$2060.52
Spencer,0,$0.00
Cumberland,0,$0.00
Clinton,0,$0.00
Wayne,0,$0.00
Barren,0,$0.00
Warren,0,$0.00
Hickman,0,$0.00
Calloway,0,$0.00
Estill,0,$0.00
Owsley,0,$0.00
Breckinridge,0,$0.00
Lawrence,0,$0.00
Morgan,1,$1362.02
Johnson,2,$22126.60
Simpson,0,$0.00
Grant,0,$0.00
Kenton,0,$0.00
Metcalfe,0,$0.00
Whitley,3,$70072.22
Harrison,1,$36731.03
Anderson,0,$0.00
Carlisle,0,$0.00
McCracken,2,$34441.94
Livingston,0,$0.00
Crittenden,0,$0.00
Lyon,0,$0.00
Madison,2,$15847.28
Rockcastle,1,$33904.06
Magoffin,0,$0.00
Leslie,0,$0.00
Bell,15,$501131.82
Nicholas,1,$35396.63
Campbell,2,$48209.24
Lewis,0,$0.00
Fulton,0,$0.00
Henderson,1,$4163.05
Daviess,12,$166730.71
Harlan,7,$139606.58
Mason,0,$0.00
Larue,0,$0.00
Lincoln,0,$0.00
Carter,0,$0.00
Christian,1,$7931.65
Elliott,0,$0.00
Letcher,2,$17155.44
Knox,7,$195534.75
Todd,0,$0.00
Union,0,$0.00
Fayette,0,$0.00
Meade,0,$0.00
Ballard,0,$0.00
Bath,0,$0.00
Taylor,0,$0.00
Henry,0,$0.00
Franklin,0,$0.00
