Name,Total Paid Claims,Total Claim Dollars Paid
St. Bernard,77,$1666800.54
Tangipahoa,860,$53248767.82
Jefferson,1993,$93061960.91
Bienville,0,$0.00
Natchitoches,0,$0.00
Iberville,83,$4726063.85
Pointe Coupee,3,$28859.03
Terrebonne,140,$4007039.90
Vernon,0,$0.00
Rapides,13,$303633.61
Calcasieu,1491,$97435785.49
Cameron,0,$0.00
Assumption,20,$596627.02
Lafourche,378,$26911857.73
East Carroll,2,$15883.21
Richland,0,$0.00
St. Tammany,2021,$79779621.07
West Baton Rouge,11,$896307.79
West Feliciana,3,$54729.17
Allen,0,$0.00
St. Charles,440,$22607596.36
Lincoln,0,$0.00
Ouachita,0,$0.00
St. Mary,6,$112301.81
East Feliciana,1,$3084.22
St. John the Baptist,3264,$373303753.57
Vermilion,9,$138905.41
Plaquemines,291,$17425330.81
Iberia,24,$1242195.41
East Baton Rouge,1213,$110314232.23
Concordia,2,$7881.07
Caddo,7,$96633.43
Red River,0,$0.00
Bossier,1,$3932.11
De Soto,0,$0.00
Madison,0,$0.00
Tensas,0,$0.00
Caldwell,0,$0.00
Jackson,0,$0.00
Evangeline,1,$4557.94
Orleans,902,$30087983.35
St. Martin,10,$458101.73
LaSalle,0,$0.00
Avoyelles,3,$50729.06
Jefferson Davis,2,$78310.97
Beauregard,0,$0.00
Lafayette,154,$6586155.36
Claiborne,0,$0.00
Catahoula,1,$15542.68
Washington,7,$190502.44
Morehouse,0,$0.00
St. Helena,4,$151491.80
Franklin,0,$0.00
West Carroll,0,$0.00
St. James,24,$578776.81
Ascension,201,$10723072.14
Livingston,256,$8311318.93
Union,0,$0.00
Winn,0,$0.00
Grant,0,$0.00
Webster,1,$18335.85
Sabine,0,$0.00
Acadia,5,$95084.45
St. Landry,1,$6844.83
