Name,Total Paid Claims,Total Claim Dollars Paid
Worcester,13,$31875.57
Somerset,2,$7248.94
St. Mary's,0,$0.00
Dorchester,1,$13109.23
Howard,0,$0.00
Frederick,0,$0.00
Montgomery,0,$0.00
Garrett,0,$0.00
Anne Arundel,2,$2789.50
Prince George's,2,$9546.86
Charles,0,$0.00
Baltimore,1,$1019.97
Baltimore,12,$224878.49
Allegany,3,$10987.89
Washington,9,$34784.02
Queen Anne's,0,$0.00
Talbot,0,$0.00
Caroline,0,$0.00
Wicomico,2,$2552.10
Carroll,0,$0.00
Cecil,1,$525.02
Kent,0,$0.00
Calvert,1,$7586.91
Harford,1,$7578.25
