Name,Total Paid Claims,Total Claim Dollars Paid
Leelanau,0,$0.00
Benzie,0,$0.00
Alger,0,$0.00
Wayne,14,$160269.62
Chippewa,0,$0.00
Washtenaw,1,$7435.82
Hillsdale,0,$0.00
Lenawee,2,$2403.75
Monroe,21,$109435.62
Ogemaw,0,$0.00
Iosco,1,$12884.95
Calhoun,0,$0.00
Branch,0,$0.00
Oceana,1,$991.92
Newaygo,0,$0.00
Mackinac,0,$0.00
Kalamazoo,1,$1201.95
St. Joseph,0,$0.00
Grand Traverse,1,$3438.78
Charlevoix,0,$0.00
Saginaw,22,$91990.30
Genesee,1,$3280.58
Barry,3,$18217.07
Allegan,3,$108862.36
Iron,0,$0.00
Dickinson,0,$0.00
Marquette,0,$0.00
Wexford,0,$0.00
Manistee,0,$0.00
Van Buren,1,$1542.71
Cass,0,$0.00
Ottawa,13,$102472.19
Antrim,0,$0.00
Otsego,0,$0.00
Alpena,0,$0.00
Montmorency,0,$0.00
Shiawassee,0,$0.00
Alcona,1,$6296.63
Oscoda,0,$0.00
Kalkaska,0,$0.00
Crawford,0,$0.00
Mecosta,3,$26401.03
Luce,0,$0.00
Schoolcraft,0,$0.00
Jackson,0,$0.00
Livingston,0,$0.00
Eaton,0,$0.00
Clare,0,$0.00
Isabella,0,$0.00
Lapeer,1,$286.20
Macomb,13,$144488.47
Arenac,0,$0.00
Lake,0,$0.00
Osceola,0,$0.00
Ontonagon,0,$0.00
Ionia,0,$0.00
Tuscola,6,$36141.30
Bay,2,$3428.92
Menominee,0,$0.00
Kent,29,$692938.05
Gratiot,1,$1102.39
Roscommon,0,$0.00
Muskegon,0,$0.00
Missaukee,0,$0.00
Clinton,0,$0.00
Ingham,0,$0.00
Cheboygan,0,$0.00
Gladwin,0,$0.00
Midland,0,$0.00
Presque Isle,0,$0.00
Delta,0,$0.00
Gogebic,0,$0.00
Emmet,0,$0.00
Sanilac,0,$0.00
Baraga,0,$0.00
Huron,0,$0.00
Mason,0,$0.00
Keweenaw,0,$0.00
Berrien,0,$0.00
Houghton,0,$0.00
Oakland,5,$59300.11
Montcalm,0,$0.00
St. Clair,16,$95021.31
