Name,Total Paid Claims,Total Claim Dollars Paid
Grant,0,$0.00
Stevens,0,$0.00
Carver,0,$0.00
Sibley,0,$0.00
Swift,0,$0.00
Winona,0,$0.00
Fillmore,3,$20130.25
Becker,0,$0.00
Hubbard,0,$0.00
Yellow Medicine,0,$0.00
Douglas,0,$0.00
Pope,0,$0.00
Lake of the Woods,0,$0.00
Beltrami,0,$0.00
Dakota,1,$188421.00
Rice,6,$256416.00
Steele,11,$359961.81
Blue Earth,4,$106163.52
Waseca,3,$19359.72
Cottonwood,0,$0.00
Redwood,0,$0.00
Lincoln,0,$0.00
Roseau,0,$0.00
Marshall,0,$0.00
Pennington,0,$0.00
Wadena,0,$0.00
Otter Tail,1,$2259.63
Todd,0,$0.00
Morrison,0,$0.00
Cass,0,$0.00
Murray,0,$0.00
Wilkin,0,$0.00
Traverse,0,$0.00
Watonwan,0,$0.00
Hennepin,2,$5287.81
Le Sueur,4,$43025.72
Kanabec,7,$114228.43
Isanti,0,$0.00
Pine,18,$653443.57
Jackson,0,$0.00
Big Stone,0,$0.00
Norman,0,$0.00
Houston,0,$0.00
Mower,3,$61897.52
Olmsted,1,$7181.65
Freeborn,3,$418165.76
Dodge,0,$0.00
Meeker,0,$0.00
Wright,0,$0.00
Lac qui Parle,0,$0.00
Kandiyohi,0,$0.00
Chippewa,0,$0.00
St. Louis,0,$0.00
Nobles,0,$0.00
Koochiching,0,$0.00
Goodhue,1,$6024.56
Chisago,1,$277219.44
Anoka,6,$135251.24
Brown,0,$0.00
Lyon,0,$0.00
Rock,0,$0.00
Pipestone,0,$0.00
Washington,1,$9177.23
Kittson,0,$0.00
Clearwater,0,$0.00
Polk,1,$4745.91
Faribault,0,$0.00
Stearns,0,$0.00
Benton,1,$5267.69
Mille Lacs,1,$11775.45
Sherburne,1,$2692.95
Ramsey,0,$0.00
Renville,0,$0.00
McLeod,1,$2863.68
Carlton,1,$17603.51
Lake,0,$0.00
Aitkin,0,$0.00
Martin,0,$0.00
Clay,0,$0.00
Mahnomen,0,$0.00
Wabasha,0,$0.00
Cook,0,$0.00
Nicollet,0,$0.00
Red Lake,0,$0.00
Itasca,0,$0.00
Crow Wing,1,$3500.09
Scott,0,$0.00
