Name,Total Paid Claims,Total Claim Dollars Paid
Amite,0,$0.00
Franklin,0,$0.00
Panola,0,$0.00
Tunica,0,$0.00
Quitman,0,$0.00
Yalobusha,0,$0.00
Perry,0,$0.00
Greene,0,$0.00
Humphreys,0,$0.00
Sharkey,1,$39737.75
Harrison,22,$441515.70
Jackson,2,$10036.88
Winston,1,$48567.26
Attala,2,$27905.04
Simpson,1,$30462.24
Rankin,1,$8824.62
Bolivar,4,$106973.00
Coahoma,0,$0.00
Tippah,0,$0.00
Prentiss,0,$0.00
Alcorn,0,$0.00
Pearl River,0,$0.00
Forrest,1,$8100.33
Pike,6,$742974.22
Walthall,0,$0.00
Noxubee,0,$0.00
Oktibbeha,0,$0.00
Tallahatchie,1,$4123.41
Claiborne,0,$0.00
Warren,10,$164279.21
Webster,0,$0.00
Lawrence,0,$0.00
Copiah,0,$0.00
Pontotoc,0,$0.00
Lafayette,0,$0.00
DeSoto,0,$0.00
Tate,0,$0.00
George,0,$0.00
Choctaw,1,$68613.13
Tishomingo,0,$0.00
Stone,0,$0.00
Union,0,$0.00
Benton,0,$0.00
Wilkinson,0,$0.00
Clay,0,$0.00
Jefferson,0,$0.00
Calhoun,0,$0.00
Covington,0,$0.00
Grenada,0,$0.00
Leflore,0,$0.00
Marshall,0,$0.00
Leake,0,$0.00
Newton,0,$0.00
Madison,2,$91780.04
Scott,0,$0.00
Wayne,0,$0.00
Jones,0,$0.00
Smith,0,$0.00
Marion,3,$11784.33
Jasper,0,$0.00
Jefferson Davis,0,$0.00
Lamar,1,$8125.95
Chickasaw,0,$0.00
Monroe,0,$0.00
Lee,0,$0.00
Lincoln,0,$0.00
Issaquena,0,$0.00
Yazoo,1,$2458.43
Carroll,0,$0.00
Montgomery,0,$0.00
Holmes,3,$23663.90
Lauderdale,3,$49229.64
Washington,2,$19291.71
Sunflower,1,$9452.62
Lowndes,3,$59139.66
Neshoba,0,$0.00
Hancock,5,$65030.56
Clarke,0,$0.00
Kemper,0,$0.00
Adams,0,$0.00
Itawamba,0,$0.00
Hinds,2,$56197.89
