Name,Total Paid Claims,Total Claim Dollars Paid
Wayne,5,$96292.69
Reynolds,20,$175619.87
Carter,12,$100036.77
Newton,0,$0.00
Andrew,0,$0.00
Nodaway,0,$0.00
Scotland,0,$0.00
Knox,1,$445040.48
Jasper,1,$6106.37
Barton,0,$0.00
Worth,0,$0.00
Grundy,0,$0.00
Livingston,0,$0.00
Maries,0,$0.00
Miller,0,$0.00
Gasconade,3,$30123.58
Osage,0,$0.00
Buchanan,0,$0.00
Platte,2,$23032.82
Stone,3,$98916.85
Lewis,5,$18183.24
Marion,0,$0.00
Lafayette,2,$56590.22
Johnson,0,$0.00
Pike,15,$31643.21
Audrain,0,$0.00
Sullivan,0,$0.00
Mercer,0,$0.00
McDonald,0,$0.00
Barry,0,$0.00
Ralls,0,$0.00
Scott,18,$121662.17
New Madrid,0,$0.00
St. Francois,2,$58250.68
Jefferson,32,$281409.93
Ste. Genevieve,0,$0.00
Iron,24,$232639.10
Washington,0,$0.00
Perry,1,$12486.70
Lawrence,0,$0.00
Madison,41,$810474.13
Gentry,0,$0.00
Montgomery,1,$718.85
Clark,0,$0.00
Macon,0,$0.00
Adair,0,$0.00
Cedar,0,$0.00
Polk,0,$0.00
Hickory,0,$0.00
Camden,0,$0.00
St. Louis,44,$139423.41
Douglas,0,$0.00
Howell,3,$273254.27
Chariton,0,$0.00
Morgan,0,$0.00
Benton,0,$0.00
Oregon,0,$0.00
Linn,6,$54190.72
Randolph,0,$0.00
Monroe,0,$0.00
Warren,0,$0.00
Clay,0,$0.00
Harrison,0,$0.00
Dallas,0,$0.00
Greene,10,$143942.70
Daviess,0,$0.00
Saline,0,$0.00
Cooper,0,$0.00
Boone,1,$14628.33
Dent,0,$0.00
Bates,0,$0.00
Henry,0,$0.00
Jackson,13,$64933.54
Texas,0,$0.00
Pettis,0,$0.00
Dade,0,$0.00
Christian,1,$159099.48
Moniteau,0,$0.00
Shelby,0,$0.00
St. Clair,0,$0.00
Crawford,2,$11467.11
Carroll,2,$1271.09
Caldwell,0,$0.00
Clinton,0,$0.00
DeKalb,0,$0.00
Taney,0,$0.00
Webster,0,$0.00
Putnam,0,$0.00
Butler,7,$53487.32
Cape Girardeau,36,$329137.47
Mississippi,1,$5051.29
Lincoln,20,$72799.54
Schuyler,0,$0.00
Cass,1,$4452.03
Dunklin,0,$0.00
Ozark,0,$0.00
Bollinger,31,$773942.69
St. Charles,94,$1130838.09
Franklin,0,$0.00
Ripley,12,$117289.19
Ray,1,$1527.02
Holt,0,$0.00
Vernon,0,$0.00
Laclede,0,$0.00
Pulaski,3,$5608.38
Phelps,10,$198266.06
Wright,0,$0.00
Pemiscot,1,$430.38
Shannon,2,$30521.65
Atchison,0,$0.00
St. Louis,2,$7193.42
Stoddard,0,$0.00
Callaway,0,$0.00
Cole,3,$62902.43
Howard,0,$0.00
