Name,Total Paid Claims,Total Claim Dollars Paid
Wayne,0,$0.00
Reynolds,0,$0.00
Carter,4,$55897.00
Newton,21,$1545387.79
Andrew,1,$44900.78
Nodaway,0,$0.00
Scotland,0,$0.00
Knox,3,$616987.10
Jasper,16,$471800.91
Barton,3,$188428.96
Worth,0,$0.00
Grundy,1,$745.15
Livingston,0,$0.00
Maries,14,$304595.62
Miller,4,$60072.94
Gasconade,39,$1103922.80
Osage,13,$363756.33
Buchanan,3,$10597.30
Platte,6,$64149.91
Stone,11,$314308.09
Lewis,1,$54368.80
Marion,14,$259662.78
Lafayette,0,$0.00
Johnson,1,$34366.93
Pike,29,$222297.48
Audrain,1,$11289.17
Sullivan,0,$0.00
Mercer,0,$0.00
McDonald,43,$2952121.42
Barry,5,$837069.68
Ralls,0,$0.00
Scott,6,$185467.15
New Madrid,2,$5544.63
St. Francois,6,$74580.93
Jefferson,222,$11946368.65
Ste. Genevieve,5,$389685.01
Iron,0,$0.00
Washington,0,$0.00
Perry,7,$48774.75
Lawrence,6,$178259.72
Madison,0,$0.00
Gentry,0,$0.00
Montgomery,0,$0.00
Clark,0,$0.00
Macon,0,$0.00
Adair,0,$0.00
Cedar,0,$0.00
Polk,1,$7506.89
Hickory,0,$0.00
Camden,34,$1270905.26
St. Louis,299,$25749421.11
Douglas,0,$0.00
Howell,0,$0.00
Chariton,0,$0.00
Morgan,5,$131108.64
Benton,1,$6306.17
Oregon,1,$40193.54
Linn,0,$0.00
Randolph,0,$0.00
Monroe,0,$0.00
Warren,0,$0.00
Clay,29,$1211726.91
Harrison,0,$0.00
Dallas,2,$27937.62
Greene,15,$355458.87
Daviess,0,$0.00
Saline,0,$0.00
Cooper,0,$0.00
Boone,2,$29756.91
Dent,0,$0.00
Bates,1,$24932.16
Henry,0,$0.00
Jackson,6,$376719.42
Texas,0,$0.00
Pettis,5,$51377.16
Dade,0,$0.00
Christian,13,$577604.91
Moniteau,0,$0.00
Shelby,0,$0.00
St. Clair,0,$0.00
Crawford,19,$1884834.62
Carroll,0,$0.00
Caldwell,0,$0.00
Clinton,2,$23548.20
DeKalb,0,$0.00
Taney,66,$5931229.32
Webster,2,$101824.56
Putnam,0,$0.00
Butler,4,$21119.00
Cape Girardeau,20,$886857.62
Mississippi,0,$0.00
Lincoln,94,$1612590.04
Schuyler,0,$0.00
Cass,0,$0.00
Dunklin,0,$0.00
Ozark,0,$0.00
Bollinger,1,$6706.16
St. Charles,232,$5040390.35
Franklin,188,$10050080.00
Ripley,7,$127047.51
Ray,2,$6780.74
Holt,1,$8078.11
Vernon,0,$0.00
Laclede,9,$304483.38
Pulaski,25,$619350.86
Phelps,37,$2260442.49
Wright,0,$0.00
Pemiscot,2,$91310.94
Shannon,0,$0.00
Atchison,1,$1519.45
St. Louis,13,$116095.02
Stoddard,1,$14103.27
Callaway,0,$0.00
Cole,19,$225880.76
Howard,0,$0.00
