Name,Total Paid Claims,Total Claim Dollars Paid
Blaine,0,$0.00
Hill,0,$0.00
Valley,2,$11029.36
Daniels,0,$0.00
Liberty,0,$0.00
Phillips,0,$0.00
Fergus,0,$0.00
Golden Valley,0,$0.00
Musselshell,5,$114124.07
Toole,0,$0.00
Chouteau,0,$0.00
Cascade,1,$19618.22
Sweet Grass,0,$0.00
Meagher,0,$0.00
Granite,0,$0.00
Deer Lodge,0,$0.00
Beaverhead,0,$0.00
Madison,0,$0.00
Lincoln,0,$0.00
Flathead,0,$0.00
Missoula,3,$42482.93
Stillwater,0,$0.00
Sanders,0,$0.00
Powell,0,$0.00
Jefferson,0,$0.00
Gallatin,0,$0.00
Powder River,0,$0.00
Big Horn,0,$0.00
Garfield,0,$0.00
Custer,1,$3620.82
Park,0,$0.00
Carbon,1,$21877.52
Yellowstone,5,$168691.80
Rosebud,2,$2082.38
Ravalli,3,$53445.37
Roosevelt,0,$0.00
Wheatland,0,$0.00
Wibaux,0,$0.00
Prairie,0,$0.00
Teton,0,$0.00
Pondera,0,$0.00
Dawson,1,$27952.79
Richland,0,$0.00
McCone,0,$0.00
Mineral,0,$0.00
Glacier,0,$0.00
Lake,1,$3602.58
Lewis and Clark,1,$455.16
Silver Bow,0,$0.00
Sheridan,0,$0.00
Broadwater,0,$0.00
Carter,0,$0.00
Fallon,0,$0.00
Treasure,0,$0.00
Petroleum,0,$0.00
Judith Basin,0,$0.00
