Name,Total Paid Claims,Total Claim Dollars Paid
Ocean,85,$684234.46
Atlantic,59,$916542.91
Burlington,30,$185872.47
Monmouth,140,$1435893.98
Cape May,273,$2466771.64
Passaic,114,$750868.13
Hunterdon,60,$511592.56
Union,242,$1635136.67
Hudson,61,$1477212.93
Warren,105,$1783802.52
Cumberland,6,$37806.94
Salem,1,$14687.94
Sussex,9,$55547.38
Somerset,491,$6267235.62
Morris,232,$2812086.61
Middlesex,250,$3548625.13
Gloucester,12,$41212.36
Camden,7,$34600.58
Essex,56,$497335.42
Bergen,77,$1719978.79
Mercer,198,$4231208.31
