Name,Total Paid Claims,Total Claim Dollars Paid
Ocean,22,$200578.35
Atlantic,14,$225502.47
Burlington,192,$2982910.87
Monmouth,30,$354465.15
Cape May,2,$23127.91
Passaic,1332,$34583567.99
Hunterdon,25,$434440.50
Union,559,$9221200.09
Hudson,162,$1920450.95
Warren,18,$251197.67
Cumberland,9,$61533.60
Salem,9,$46168.75
Sussex,3,$33893.09
Somerset,969,$38486060.95
Morris,586,$12338223.51
Middlesex,249,$4124672.57
Gloucester,37,$247445.42
Camden,49,$212026.64
Essex,420,$8546188.19
Bergen,1383,$41045390.46
Mercer,64,$2437636.14
