Name,Total Paid Claims,Total Claim Dollars Paid
McKinley,0,$0.00
Sandoval,1,$131610.68
San Juan,8,$253198.54
Santa Fe,3,$33625.62
Cibola,0,$0.00
Los Alamos,0,$0.00
San Miguel,3,$43290.03
Bernalillo,19,$885390.38
Hidalgo,0,$0.00
Do̱a Ana,0,$0.00
Curry,0,$0.00
Colfax,0,$0.00
Lea,0,$0.00
Mora,0,$0.00
Roosevelt,0,$0.00
De Baca,0,$0.00
Catron,3,$76085.22
Luna,0,$0.00
Grant,1,$6723.08
Rio Arriba,2,$185682.90
Valencia,2,$38305.84
Taos,0,$0.00
Chaves,3,$85962.64
Lincoln,2,$8429.74
Socorro,0,$0.00
Torrance,0,$0.00
Quay,0,$0.00
Harding,0,$0.00
Otero,0,$0.00
Guadalupe,0,$0.00
Union,0,$0.00
Sierra,5,$122541.33
Eddy,0,$0.00
