Name,Total Paid Claims,Total Claim Dollars Paid
Cattaraugus,0,$0.00
Chautauqua,4,$1678.36
Suffolk,329,$786254.84
Jefferson,0,$0.00
Erie,38,$160006.96
Wyoming,0,$0.00
Orleans,1,$1079.60
Monroe,9,$11611.43
St. Lawrence,0,$0.00
Nassau,428,$954696.77
Queens,267,$618747.12
Saratoga,11,$34005.04
Albany,5,$4782.50
Niagara,0,$0.00
Essex,6,$4112.88
Fulton,4,$3509.41
Herkimer,9,$8133.88
Rockland,273,$587364.84
Westchester,935,$4810707.32
Orange,50,$69757.65
Genesee,1,$1037.98
Madison,0,$0.00
Bronx,85,$184998.26
New York,42,$230814.61
Kings,267,$688473.99
Montgomery,8,$24851.42
Otsego,1,$96.40
Oneida,23,$55037.34
Washington,0,$0.00
Wayne,1,$652.10
Allegany,0,$0.00
Livingston,0,$0.00
Chenango,1,$1924.03
Delaware,5,$13713.48
Schoharie,54,$185693.94
Ulster,31,$102538.97
Columbia,4,$15103.72
Steuben,1,$420.41
Ontario,0,$0.00
Chemung,0,$0.00
Tompkins,0,$0.00
Cortland,0,$0.00
Cayuga,0,$0.00
Oswego,3,$1494.55
Putnam,25,$104054.93
Lewis,2,$4863.00
Seneca,0,$0.00
Hamilton,0,$0.00
Clinton,3,$48591.62
Rensselaer,3,$3708.05
Greene,23,$113395.72
Dutchess,3,$1966.00
Richmond,2791,$6000176.58
Schuyler,0,$0.00
Sullivan,14,$38715.15
Warren,2,$602.80
Broome,4,$39576.40
Schenectady,11,$7671.09
Tioga,0,$0.00
Franklin,0,$0.00
Onondaga,8,$20903.32
Yates,0,$0.00
