Name,Total Paid Claims,Total Claim Dollars Paid
Carteret,6,$14603.49
Washington,0,$0.00
Hyde,0,$0.00
New Hanover,6,$7278.42
Wake,13,$34994.72
Granville,0,$0.00
Mitchell,0,$0.00
Avery,0,$0.00
Hertford,0,$0.00
Caswell,0,$0.00
Alamance,1,$13161.95
Brunswick,0,$0.00
Haywood,0,$0.00
Transylvania,0,$0.00
Richmond,0,$0.00
Lenoir,0,$0.00
Wayne,7,$48018.76
Greene,0,$0.00
Rutherford,0,$0.00
Johnston,0,$0.00
Nash,0,$0.00
Guilford,16,$94112.64
Rockingham,0,$0.00
Beaufort,4,$2880.04
Pamlico,4,$33266.85
Jones,0,$0.00
Craven,15,$60663.67
Durham,1,$789.84
Chatham,0,$0.00
Warren,0,$0.00
Northampton,0,$0.00
Edgecombe,0,$0.00
Wilson,5,$11336.21
Person,0,$0.00
Halifax,0,$0.00
Martin,0,$0.00
Orange,4,$9939.93
Dare,14,$99466.01
Jackson,0,$0.00
Rowan,2,$2744.31
Iredell,1,$1237.50
Cabarrus,1,$4163.19
Union,0,$0.00
Vance,0,$0.00
Tyrrell,0,$0.00
Watauga,0,$0.00
Wilkes,0,$0.00
Alexander,0,$0.00
Caldwell,0,$0.00
Randolph,1,$1313.02
Chowan,0,$0.00
Gates,0,$0.00
Pasquotank,1,$133.80
Cherokee,1,$27636.00
Macon,0,$0.00
Onslow,0,$0.00
Cleveland,0,$0.00
Lincoln,0,$0.00
Mecklenburg,88,$358921.27
Yancey,0,$0.00
Henderson,0,$0.00
Pitt,1,$642.80
Perquimans,0,$0.00
Moore,0,$0.00
Anson,0,$0.00
Pender,0,$0.00
Sampson,0,$0.00
Harnett,0,$0.00
Robeson,0,$0.00
Cumberland,0,$0.00
Graham,0,$0.00
Burke,0,$0.00
Scotland,0,$0.00
Hoke,0,$0.00
McDowell,0,$0.00
Columbus,0,$0.00
Duplin,0,$0.00
Yadkin,0,$0.00
Forsyth,8,$26848.63
Surry,2,$14713.00
Stokes,0,$0.00
Davidson,0,$0.00
Davie,0,$0.00
Camden,0,$0.00
Currituck,0,$0.00
Ashe,0,$0.00
Madison,0,$0.00
Buncombe,3,$2564.20
Gaston,0,$0.00
Bertie,0,$0.00
Swain,1,$1659.26
Catawba,0,$0.00
Franklin,0,$0.00
Alleghany,0,$0.00
Montgomery,0,$0.00
Polk,0,$0.00
Lee,0,$0.00
Clay,0,$0.00
Bladen,0,$0.00
Stanly,0,$0.00
