Name,Total Paid Claims,Total Claim Dollars Paid
Carteret,2058,$65921826.86
Washington,1,$4124.19
Hyde,54,$934309.39
New Hanover,1231,$34430522.30
Wake,28,$870329.72
Granville,2,$68711.42
Mitchell,0,$0.00
Avery,1,$10439.73
Hertford,0,$0.00
Caswell,0,$0.00
Alamance,8,$63413.56
Brunswick,812,$24668016.94
Haywood,1,$9924.06
Transylvania,1,$14961.13
Richmond,3,$101853.38
Lenoir,132,$9132824.28
Wayne,144,$4581811.91
Greene,2,$29728.96
Rutherford,8,$236957.18
Johnston,10,$121093.51
Nash,6,$90351.36
Guilford,44,$1646037.04
Rockingham,4,$102093.51
Beaufort,1074,$23804634.33
Pamlico,1218,$38013089.99
Jones,97,$13635331.48
Craven,2589,$202525161.83
Durham,55,$1350905.18
Chatham,8,$526743.32
Warren,0,$0.00
Northampton,0,$0.00
Edgecombe,0,$0.00
Wilson,9,$288877.54
Person,0,$0.00
Halifax,0,$0.00
Martin,0,$0.00
Orange,75,$5476409.78
Dare,456,$6564121.21
Jackson,1,$21377.50
Rowan,12,$146165.96
Iredell,5,$58900.99
Cabarrus,4,$40084.04
Union,14,$382653.26
Vance,0,$0.00
Tyrrell,10,$133484.20
Watauga,7,$47976.54
Wilkes,0,$0.00
Alexander,0,$0.00
Caldwell,3,$49808.79
Randolph,7,$111887.48
Chowan,0,$0.00
Gates,0,$0.00
Pasquotank,8,$155852.62
Cherokee,1,$6594.73
Macon,2,$7339.39
Onslow,737,$30700263.90
Cleveland,0,$0.00
Lincoln,0,$0.00
Mecklenburg,43,$993187.58
Yancey,4,$81816.32
Henderson,20,$533974.41
Pitt,27,$393953.18
Perquimans,1,$6815.26
Moore,32,$662725.17
Anson,0,$0.00
Pender,1006,$65956891.50
Sampson,51,$3954680.57
Harnett,32,$1041870.37
Robeson,691,$31298079.15
Cumberland,163,$4895826.30
Graham,0,$0.00
Burke,2,$36682.94
Scotland,16,$413908.76
Hoke,10,$270253.90
McDowell,8,$231266.67
Columbus,287,$14855768.29
Duplin,292,$46438351.45
Yadkin,0,$0.00
Forsyth,29,$722831.31
Surry,0,$0.00
Stokes,2,$19858.26
Davidson,13,$417307.14
Davie,1,$12491.87
Camden,4,$116604.58
Currituck,88,$1374142.21
Ashe,0,$0.00
Madison,0,$0.00
Buncombe,27,$639557.47
Gaston,2,$11510.28
Bertie,1,$40114.41
Swain,5,$31007.91
Catawba,0,$0.00
Franklin,0,$0.00
Alleghany,3,$55045.23
Montgomery,1,$16080.65
Polk,9,$220146.80
Lee,12,$531150.31
Clay,0,$0.00
Bladen,89,$5157235.83
Stanly,10,$1681348.65
