Name,Total Paid Claims,Total Claim Dollars Paid
Lake,8,$82983.81
Cuyahoga,3,$14411.42
Medina,1,$2049.30
Summit,0,$0.00
Hancock,0,$0.00
Wood,0,$0.00
Defiance,0,$0.00
Huron,0,$0.00
Lorain,0,$0.00
Scioto,0,$0.00
Lawrence,0,$0.00
Brown,0,$0.00
Adams,0,$0.00
Franklin,1,$23284.18
Harrison,0,$0.00
Belmont,0,$0.00
Jefferson,0,$0.00
Meigs,0,$0.00
Vinton,0,$0.00
Jackson,0,$0.00
Athens,0,$0.00
Guernsey,0,$0.00
Coshocton,0,$0.00
Pickaway,0,$0.00
Madison,0,$0.00
Fairfield,1,$1300.46
Fayette,0,$0.00
Ross,0,$0.00
Highland,0,$0.00
Marion,0,$0.00
Hardin,0,$0.00
Shelby,0,$0.00
Logan,0,$0.00
Van Wert,0,$0.00
Putnam,0,$0.00
Portage,0,$0.00
Trumbull,2,$58070.72
Geauga,1,$15109.63
Ashtabula,0,$0.00
Sandusky,0,$0.00
Seneca,0,$0.00
Warren,1,$7308.34
Butler,0,$0.00
Montgomery,0,$0.00
Crawford,0,$0.00
Hamilton,4,$4167.44
Hocking,0,$0.00
Darke,0,$0.00
Carroll,0,$0.00
Stark,0,$0.00
Holmes,2,$10665.13
Mahoning,9,$118074.37
Ashland,0,$0.00
Delaware,0,$0.00
Knox,0,$0.00
Auglaize,0,$0.00
Licking,0,$0.00
Lucas,3,$19103.35
Henry,0,$0.00
Williams,0,$0.00
Tuscarawas,0,$0.00
Perry,0,$0.00
Pike,0,$0.00
Clermont,1,$6313.43
Clinton,0,$0.00
Union,0,$0.00
Champaign,0,$0.00
Miami,0,$0.00
Allen,3,$15849.69
Clark,1,$1642.10
Mercer,0,$0.00
Gallia,0,$0.00
Morrow,0,$0.00
Monroe,0,$0.00
Preble,1,$2421.42
Muskingum,1,$1833.41
Richland,0,$0.00
Fulton,0,$0.00
Washington,0,$0.00
Wyandot,0,$0.00
Wayne,0,$0.00
Morgan,0,$0.00
Greene,0,$0.00
Erie,5,$5007.68
Paulding,0,$0.00
Columbiana,0,$0.00
Ottawa,36,$97497.69
Noble,0,$0.00
