Name,Total Paid Claims,Total Claim Dollars Paid
Lake,1,$38623.68
Cuyahoga,20,$324974.13
Medina,3,$36014.08
Summit,21,$259734.35
Hancock,850,$27129673.42
Wood,1,$25128.37
Defiance,0,$0.00
Huron,2,$192985.43
Lorain,6,$107263.86
Scioto,0,$0.00
Lawrence,1,$4206.81
Brown,1,$2985.74
Adams,0,$0.00
Franklin,1,$986.12
Harrison,0,$0.00
Belmont,1,$4250.36
Jefferson,0,$0.00
Meigs,0,$0.00
Vinton,0,$0.00
Jackson,1,$3466.97
Athens,0,$0.00
Guernsey,1,$4137.28
Coshocton,0,$0.00
Pickaway,0,$0.00
Madison,0,$0.00
Fairfield,1,$1187.64
Fayette,0,$0.00
Ross,3,$967.66
Highland,0,$0.00
Marion,0,$0.00
Hardin,0,$0.00
Shelby,0,$0.00
Logan,3,$33330.71
Van Wert,1,$7961.90
Putnam,186,$8197587.32
Portage,0,$0.00
Trumbull,0,$0.00
Geauga,1,$4421.22
Ashtabula,0,$0.00
Sandusky,4,$47222.62
Seneca,8,$79513.40
Warren,0,$0.00
Butler,1,$15012.38
Montgomery,2,$13196.65
Crawford,45,$1267638.71
Hamilton,0,$0.00
Hocking,0,$0.00
Darke,0,$0.00
Carroll,0,$0.00
Stark,9,$76465.99
Holmes,3,$52952.94
Mahoning,1,$225.80
Ashland,4,$92845.31
Delaware,3,$15192.98
Knox,0,$0.00
Auglaize,1,$6811.93
Licking,0,$0.00
Lucas,3,$33139.73
Henry,0,$0.00
Williams,0,$0.00
Tuscarawas,0,$0.00
Perry,0,$0.00
Pike,0,$0.00
Clermont,1,$7763.29
Clinton,0,$0.00
Union,3,$15122.34
Champaign,1,$13390.97
Miami,2,$12261.85
Allen,20,$872323.15
Clark,0,$0.00
Mercer,0,$0.00
Gallia,0,$0.00
Morrow,0,$0.00
Monroe,0,$0.00
Preble,0,$0.00
Muskingum,0,$0.00
Richland,95,$5816158.91
Fulton,1,$14022.84
Washington,2,$8850.55
Wyandot,55,$1302113.10
Wayne,0,$0.00
Morgan,0,$0.00
Greene,0,$0.00
Erie,5,$15866.99
Paulding,0,$0.00
Columbiana,0,$0.00
Ottawa,4,$44741.52
Noble,0,$0.00
