Name,Total Paid Claims,Total Claim Dollars Paid
Creek,24,$241525.42
Lincoln,0,$0.00
Garvin,1,$566.71
Grady,0,$0.00
Harper,0,$0.00
Woods,2,$10715.78
Blaine,0,$0.00
Canadian,3,$8643.93
Kiowa,0,$0.00
Caddo,0,$0.00
Stephens,0,$0.00
Tillman,0,$0.00
Cotton,0,$0.00
Logan,5,$47072.91
Noble,0,$0.00
Adair,0,$0.00
Delaware,1,$10101.76
Okfuskee,0,$0.00
Custer,0,$0.00
Beckham,0,$0.00
Greer,0,$0.00
Harmon,0,$0.00
Carter,0,$0.00
Marshall,0,$0.00
Major,0,$0.00
Kingfisher,1,$8769.83
Craig,0,$0.00
Pontotoc,0,$0.00
Pottawatomie,2,$7921.08
Rogers,12,$204824.28
Washington,0,$0.00
Kay,37,$307493.92
Garfield,0,$0.00
Cherokee,1,$14481.76
Oklahoma,7,$35016.91
Choctaw,0,$0.00
Atoka,0,$0.00
McClain,0,$0.00
Le Flore,0,$0.00
Haskell,0,$0.00
Alfalfa,6,$40388.80
Latimer,0,$0.00
Cleveland,1,$3147.56
Ellis,0,$0.00
Beaver,0,$0.00
Comanche,0,$0.00
Jefferson,0,$0.00
Payne,0,$0.00
Okmulgee,2,$73135.68
Wagoner,10,$90780.00
Roger Mills,0,$0.00
Dewey,0,$0.00
Pawnee,0,$0.00
Tulsa,40,$360494.29
McIntosh,0,$0.00
Johnston,0,$0.00
Sequoyah,0,$0.00
Muskogee,1,$16499.31
Bryan,0,$0.00
McCurtain,0,$0.00
Ottawa,39,$959482.00
Hughes,0,$0.00
Pittsburg,0,$0.00
Coal,0,$0.00
Washita,0,$0.00
Cimarron,0,$0.00
Nowata,0,$0.00
Osage,1,$12841.84
Grant,1,$27139.56
Love,0,$0.00
Pushmataha,0,$0.00
Texas,0,$0.00
Woodward,0,$0.00
Jackson,0,$0.00
Mayes,3,$28822.85
Murray,1,$18959.76
Seminole,0,$0.00
