Name,Total Paid Claims,Total Claim Dollars Paid
Tillamook,1,$11751.03
Sherman,0,$0.00
Klamath,0,$0.00
Jackson,2,$5191.76
Marion,2,$96007.24
Yamhill,0,$0.00
Crook,0,$0.00
Harney,0,$0.00
Polk,0,$0.00
Lincoln,0,$0.00
Wasco,0,$0.00
Malheur,0,$0.00
Morrow,0,$0.00
Grant,0,$0.00
Union,0,$0.00
Wallowa,0,$0.00
Baker,0,$0.00
Jefferson,0,$0.00
Douglas,0,$0.00
Josephine,0,$0.00
Clackamas,0,$0.00
Coos,1,$6858.19
Multnomah,0,$0.00
Lake,0,$0.00
Wheeler,0,$0.00
Washington,1,$3300.27
Curry,2,$8133.40
Umatilla,0,$0.00
Clatsop,2,$8051.47
Hood River,0,$0.00
Lane,1,$15829.67
Columbia,0,$0.00
Linn,0,$0.00
Benton,0,$0.00
Deschutes,0,$0.00
Gilliam,0,$0.00
