Name,Total Paid Claims,Total Claim Dollars Paid
Walworth,0,$0.00
Dewey,0,$0.00
Hutchinson,3,$24251.15
Douglas,0,$0.00
Edmunds,0,$0.00
Potter,0,$0.00
Hanson,0,$0.00
Miner,0,$0.00
McCook,0,$0.00
Lake,0,$0.00
Minnehaha,1,$389.13
Grant,4,$52290.90
Deuel,0,$0.00
Pennington,6,$71967.36
Clark,0,$0.00
Beadle,0,$0.00
Brookings,0,$0.00
Hamlin,0,$0.00
Roberts,0,$0.00
Day,0,$0.00
Brule,0,$0.00
Charles Mix,1,$55397.36
Hand,0,$0.00
Spink,0,$0.00
Lyman,0,$0.00
Gregory,0,$0.00
Perkins,0,$0.00
Harding,0,$0.00
Butte,3,$9295.61
Ziebach,0,$0.00
Haakon,0,$0.00
Corson,0,$0.00
Hyde,0,$0.00
Meade,2,$5933.92
McPherson,0,$0.00
Jerauld,0,$0.00
Brown,0,$0.00
Faulk,0,$0.00
Kingsbury,0,$0.00
Sanborn,0,$0.00
Aurora,0,$0.00
Campbell,0,$0.00
Stanley,0,$0.00
Sully,0,$0.00
Clay,0,$0.00
Buffalo,0,$0.00
Jackson,0,$0.00
Union,0,$0.00
Lawrence,9,$204540.59
Codington,1,$4104.65
Custer,0,$0.00
Bennett,0,$0.00
Davison,0,$0.00
Bon Homme,0,$0.00
Moody,0,$0.00
Turner,0,$0.00
Yankton,1,$3359.33
Todd,0,$0.00
Mellette,0,$0.00
Tripp,0,$0.00
Lincoln,0,$0.00
Marshall,0,$0.00
Fall River,0,$0.00
Shannon,0,$0.00
Hughes,5,$22533.96
Jones,0,$0.00
