Name,Total Paid Claims,Total Claim Dollars Paid
Chester,0,$0.00
Hardeman,0,$0.00
Madison,5,$27451.44
Henderson,0,$0.00
Shelby,3,$6417.87
Crockett,0,$0.00
Gibson,32,$227528.66
Cheatham,0,$0.00
Robertson,0,$0.00
Loudon,0,$0.00
Davidson,7,$30493.58
McMinn,1,$1761.88
Bradley,7,$45126.59
Dickson,1,$3967.55
Montgomery,1,$4000.00
Fayette,0,$0.00
Tipton,0,$0.00
Warren,7,$125694.55
Coffee,2,$10787.92
Sullivan,0,$0.00
Johnson,0,$0.00
Williamson,17,$421547.00
Carter,0,$0.00
Washington,0,$0.00
Hawkins,0,$0.00
Rutherford,3,$114267.89
Wilson,0,$0.00
Cannon,0,$0.00
Van Buren,0,$0.00
Bledsoe,0,$0.00
Cumberland,0,$0.00
Grainger,0,$0.00
Union,0,$0.00
Franklin,1,$21300.00
Roane,8,$279640.52
Jackson,0,$0.00
Overton,0,$0.00
Anderson,2,$6973.86
Scott,0,$0.00
Lauderdale,1,$9777.34
Maury,3,$23657.41
Clay,0,$0.00
Macon,0,$0.00
DeKalb,0,$0.00
Decatur,0,$0.00
Carroll,0,$0.00
Stewart,0,$0.00
Benton,0,$0.00
Smith,3,$19052.28
Putnam,0,$0.00
Fentress,0,$0.00
Lincoln,14,$151944.92
Bedford,0,$0.00
Pickett,0,$0.00
Monroe,0,$0.00
Knox,2,$4910.96
Perry,0,$0.00
Greene,0,$0.00
Unicoi,0,$0.00
Hardin,22,$268373.87
Marshall,0,$0.00
Giles,0,$0.00
Lawrence,0,$0.00
White,0,$0.00
Sequatchie,0,$0.00
Moore,0,$0.00
Rhea,5,$84799.99
Hamilton,110,$1573258.55
Henry,1,$1841.00
Sevier,1,$3016.94
McNairy,1,$7700.55
Campbell,1,$1694.78
Blount,0,$0.00
Meigs,0,$0.00
Sumner,0,$0.00
Marion,5,$31772.68
Dyer,2,$11613.18
Trousdale,0,$0.00
Lake,0,$0.00
Obion,4,$37834.89
Weakley,3,$20805.93
Jefferson,0,$0.00
Cocke,0,$0.00
Hancock,0,$0.00
Polk,0,$0.00
Hickman,0,$0.00
Humphreys,0,$0.00
Wayne,0,$0.00
Claiborne,0,$0.00
Grundy,0,$0.00
Haywood,0,$0.00
Lewis,0,$0.00
Morgan,1,$958.48
Houston,0,$0.00
Hamblen,0,$0.00
