Name,Total Paid Claims,Total Claim Dollars Paid
Gray,0,$0.00
Roberts,0,$0.00
McMullen,0,$0.00
Duval,0,$0.00
Live Oak,0,$0.00
Leon,0,$0.00
Houston,0,$0.00
Lamb,0,$0.00
Bailey,0,$0.00
Shelby,0,$0.00
San Augustine,2,$31882.90
Uvalde,1,$9393.53
Medina,0,$0.00
Cass,0,$0.00
Childress,0,$0.00
Yoakum,0,$0.00
Terry,0,$0.00
Zavala,0,$0.00
Burleson,4,$410990.23
Milam,0,$0.00
Franklin,1,$6826.93
Hopkins,2,$55268.08
Harrison,0,$0.00
Smith,2,$19893.07
Rusk,0,$0.00
Nueces,2236,$145304391.98
Gaines,0,$0.00
Dickens,0,$0.00
Motley,0,$0.00
Foard,0,$0.00
Cottle,0,$0.00
Upton,0,$0.00
Midland,0,$0.00
Parmer,0,$0.00
Deaf Smith,0,$0.00
Oldham,0,$0.00
Culberson,0,$0.00
Jeff Davis,0,$0.00
Cochran,0,$0.00
Presidio,0,$0.00
Panola,0,$0.00
Walker,28,$1291176.22
Montgomery,2121,$248660429.35
Harris,42638,$5377517325.54
Fort Bend,2764,$363638853.81
Jim Hogg,0,$0.00
Zapata,0,$0.00
Jackson,10,$256269.60
Wharton,409,$36214005.51
Tom Green,1,$16803.28
Concho,0,$0.00
Orange,3841,$465271060.80
McLennan,2,$34220.82
Hill,0,$0.00
Floyd,0,$0.00
Hale,0,$0.00
Hockley,1,$2582.14
Lubbock,0,$0.00
Wheeler,0,$0.00
Crosby,0,$0.00
Hemphill,0,$0.00
Anderson,0,$0.00
Fisher,0,$0.00
Jones,0,$0.00
Collingsworth,0,$0.00
Hardin,779,$155095450.15
Tyler,23,$1142675.34
Nacogdoches,2,$7085.22
Winkler,0,$0.00
La Salle,0,$0.00
Reagan,0,$0.00
Glasscock,0,$0.00
DeWitt,20,$1259006.88
Karnes,0,$0.00
Lavaca,0,$0.00
Coryell,2,$25708.87
Bosque,0,$0.00
Rockwall,2,$16356.40
Dallas,25,$936557.50
Knox,0,$0.00
Kaufman,1,$21435.96
Schleicher,0,$0.00
Menard,0,$0.00
Sabine,0,$0.00
Hansford,0,$0.00
Hutchinson,0,$0.00
Carson,0,$0.00
Brooks,0,$0.00
Irion,0,$0.00
Lee,10,$271004.15
Aransas,1015,$49988781.61
Cherokee,0,$0.00
Somervell,0,$0.00
Erath,0,$0.00
Johnson,0,$0.00
Grimes,6,$158948.91
San Jacinto,61,$2879948.08
Hood,0,$0.00
Real,0,$0.00
Galveston,7428,$834412351.56
Chambers,638,$71106386.60
Limestone,8,$128349.70
Robertson,0,$0.00
Madison,1,$33300.00
Brazos,8,$91203.86
Angelina,2,$36674.14
Hunt,6,$271641.58
Fannin,5,$111209.26
Grayson,40,$2211309.82
San Saba,0,$0.00
Burnet,0,$0.00
Delta,0,$0.00
Baylor,0,$0.00
Blanco,0,$0.00
Llano,2,$3878.03
Bandera,1,$2462.26
Bexar,7,$83189.55
Atascosa,0,$0.00
Frio,0,$0.00
Marion,0,$0.00
Morris,0,$0.00
Hidalgo,1,$1123.27
Bell,17,$444394.81
King,0,$0.00
Runnels,1,$101328.95
Val Verde,3,$17028.57
Sutton,0,$0.00
Kinney,0,$0.00
Edwards,0,$0.00
Comal,0,$0.00
Guadalupe,3,$112145.89
Washington,3,$9615.91
Rains,0,$0.00
Ellis,0,$0.00
Henderson,2,$40362.53
Dallam,0,$0.00
Sherman,0,$0.00
Wilson,0,$0.00
Van Zandt,1,$244.67
Calhoun,85,$3244771.77
Refugio,17,$844389.06
Matagorda,181,$8772302.87
Moore,0,$0.00
Wood,1,$7006.75
Camp,0,$0.00
Denton,5,$113299.79
Tarrant,8,$187672.86
Kleberg,1,$124747.14
Kenedy,0,$0.00
Randall,4,$466433.07
Swisher,1,$9063.62
Reeves,0,$0.00
Maverick,0,$0.00
Webb,14,$674020.58
San Patricio,125,$5065759.31
Jim Wells,0,$0.00
Martin,0,$0.00
Dawson,0,$0.00
Trinity,2,$56855.87
Hall,0,$0.00
Bowie,1,$190584.76
Upshur,0,$0.00
Terrell,0,$0.00
Crockett,0,$0.00
Pecos,0,$0.00
Navarro,0,$0.00
Freestone,0,$0.00
Nolan,1,$1236.83
Taylor,2,$19066.59
Coleman,0,$0.00
Andrews,0,$0.00
Williamson,1,$14076.90
Potter,1,$918.46
Archer,0,$0.00
Clay,0,$0.00
Jack,0,$0.00
Young,0,$0.00
Parker,0,$0.00
Victoria,61,$1988209.27
Garza,0,$0.00
Lynn,0,$0.00
Palo Pinto,0,$0.00
Eastland,1,$10898.88
Callahan,0,$0.00
Shackelford,0,$0.00
Haskell,1,$45000.00
Starr,0,$0.00
Brewster,0,$0.00
Dimmit,0,$0.00
Caldwell,1,$67757.96
Hays,16,$648164.18
Montague,0,$0.00
Brown,0,$0.00
Kendall,1,$37671.10
Kerr,0,$0.00
Gillespie,0,$0.00
Cameron,1,$3097.94
Waller,286,$25140053.53
Mason,0,$0.00
Collin,2,$54644.83
Hartley,0,$0.00
Gonzales,3,$182384.91
Gregg,4,$144482.01
Falls,0,$0.00
Austin,81,$3473037.76
Fayette,54,$5978568.10
Armstrong,0,$0.00
Briscoe,0,$0.00
Brazoria,4340,$404263344.00
Kimble,0,$0.00
Wilbarger,0,$0.00
Wichita,0,$0.00
Bee,0,$0.00
Goliad,0,$0.00
Willacy,0,$0.00
Jasper,48,$3774237.35
Newton,239,$15668122.97
McCulloch,0,$0.00
Lampasas,2,$35821.79
Hamilton,0,$0.00
Travis,6,$137169.53
Kent,0,$0.00
Bastrop,32,$1483431.44
Hudspeth,0,$0.00
Ward,0,$0.00
Loving,0,$0.00
Coke,0,$0.00
Castro,0,$0.00
Lipscomb,0,$0.00
Ochiltree,0,$0.00
Scurry,0,$0.00
Polk,22,$1403274.46
Liberty,519,$38791414.02
Stonewall,0,$0.00
Colorado,21,$2592813.08
Ector,0,$0.00
Wise,0,$0.00
Cooke,0,$0.00
Jefferson,6510,$771968345.37
Howard,0,$0.00
Red River,0,$0.00
Sterling,0,$0.00
Mitchell,0,$0.00
Borden,0,$0.00
Hardeman,0,$0.00
Lamar,11,$482685.22
Throckmorton,2,$157661.63
Donley,0,$0.00
El Paso,4,$89331.96
Comanche,0,$0.00
Crane,0,$0.00
Mills,0,$0.00
Titus,2,$247113.27
Stephens,0,$0.00
