Name,Total Paid Claims,Total Claim Dollars Paid
Box Elder,0,$0.00
Sanpete,0,$0.00
Millard,0,$0.00
San Juan,0,$0.00
Cache,4,$49499.57
Wayne,0,$0.00
Juab,0,$0.00
Rich,0,$0.00
Duchesne,0,$0.00
Uintah,1,$7086.17
Emery,0,$0.00
Utah,1,$20672.54
Salt Lake,0,$0.00
Summit,0,$0.00
Sevier,0,$0.00
Carbon,0,$0.00
Piute,0,$0.00
Daggett,0,$0.00
Garfield,0,$0.00
Wasatch,0,$0.00
Beaver,0,$0.00
Weber,5,$14654.39
Morgan,0,$0.00
Washington,5,$8664.67
Iron,2,$5474.52
Davis,1,$3952.55
Kane,1,$3626.63
Grand,0,$0.00
Tooele,2,$3851.06
