Name,Total Paid Claims,Total Claim Dollars Paid
Alexandria,1,$10877.15
Accomack,3,$20258.82
Arlington,0,$0.00
Northampton,0,$0.00
Fairfax,0,$0.00
Fairfax,4,$37589.99
Martinsville,0,$0.00
Radford,0,$0.00
Emporia,0,$0.00
Lexington,0,$0.00
Buena Vista,0,$0.00
Dickenson,0,$0.00
Russell,0,$0.00
Prince William,0,$0.00
Winchester,1,$4768.16
Hanover,0,$0.00
Goochland,0,$0.00
Campbell,0,$0.00
Charlotte,0,$0.00
Norton,1,$6901.37
Suffolk,1,$34770.05
Fauquier,0,$0.00
Bristol,0,$0.00
Bedford,0,$0.00
Carroll,1,$4973.12
Covington,0,$0.00
Alleghany,0,$0.00
Craig,0,$0.00
Halifax,0,$0.00
Augusta,0,$0.00
Albemarle,0,$0.00
Charlottesville,0,$0.00
Caroline,0,$0.00
King William,0,$0.00
Portsmouth,2,$12142.56
Wise,9,$336654.82
Lee,0,$0.00
Grayson,0,$0.00
Westmoreland,0,$0.00
Essex,0,$0.00
Madison,0,$0.00
Rappahannock,0,$0.00
Poquoson,16,$162806.99
York,0,$0.00
Galax,0,$0.00
Manassas Park,0,$0.00
Manassas,0,$0.00
Dinwiddie,0,$0.00
Greensville,0,$0.00
Henrico,1,$3603.34
Giles,0,$0.00
Montgomery,0,$0.00
Stafford,0,$0.00
Fredericksburg,0,$0.00
Culpeper,0,$0.00
Chesapeake,12,$120245.01
Norfolk,11,$82126.17
Pulaski,0,$0.00
Floyd,0,$0.00
Bland,0,$0.00
Mathews,1,$11646.84
Gloucester,3,$91653.13
King and Queen,0,$0.00
Middlesex,0,$0.00
Chesterfield,0,$0.00
Colonial Heights,0,$0.00
Prince George,0,$0.00
Hopewell,0,$0.00
Petersburg,0,$0.00
Salem,0,$0.00
Roanoke,0,$0.00
Fluvanna,0,$0.00
Cumberland,0,$0.00
Amelia,0,$0.00
Prince Edward,0,$0.00
Hampton,7,$60126.13
Warren,0,$0.00
Frederick,0,$0.00
Rockbridge,0,$0.00
Nelson,0,$0.00
Charles City,0,$0.00
Lunenburg,0,$0.00
Smyth,0,$0.00
Isle of Wight,0,$0.00
Southampton,0,$0.00
Franklin,0,$0.00
King George,0,$0.00
Washington,0,$0.00
James City,2,$30867.92
Williamsburg,0,$0.00
Spotsylvania,0,$0.00
Virginia Beach,11,$102415.30
Orange,1,$1320.17
New Kent,0,$0.00
Richmond,0,$0.00
Bedford,0,$0.00
Amherst,0,$0.00
Appomattox,0,$0.00
Lynchburg,0,$0.00
Falls Church,0,$0.00
Roanoke,1,$15898.18
Danville,0,$0.00
Botetourt,0,$0.00
Pittsylvania,0,$0.00
Rockingham,0,$0.00
Buckingham,0,$0.00
Clarke,0,$0.00
Newport News,1,$18504.63
Bath,0,$0.00
Tazewell,3,$46967.45
Loudoun,0,$0.00
Highland,0,$0.00
Henry,0,$0.00
Scott,0,$0.00
Brunswick,0,$0.00
Buchanan,13,$612833.60
Nottoway,0,$0.00
Franklin,0,$0.00
Louisa,0,$0.00
Surry,0,$0.00
Sussex,0,$0.00
Lancaster,0,$0.00
Mecklenburg,0,$0.00
Shenandoah,0,$0.00
Northumberland,0,$0.00
Patrick,0,$0.00
Greene,0,$0.00
Wythe,0,$0.00
Harrisonburg,0,$0.00
Waynesboro,0,$0.00
Staunton,1,$926.21
Powhatan,0,$0.00
Richmond,0,$0.00
Page,0,$0.00
