Name,Total Paid Claims,Total Claim Dollars Paid
Whitman,0,$0.00
Lincoln,0,$0.00
Wahkiakum,0,$0.00
Skagit,11,$44118.18
Pierce,4,$9915.63
Jefferson,1,$2693.69
Thurston,0,$0.00
Grays Harbor,0,$0.00
Stevens,0,$0.00
Whatcom,13,$389538.50
Okanogan,7,$76561.55
Pacific,0,$0.00
San Juan,0,$0.00
Ferry,0,$0.00
Franklin,0,$0.00
Adams,0,$0.00
Asotin,0,$0.00
Kitsap,2,$41854.82
Mason,0,$0.00
Lewis,0,$0.00
Columbia,0,$0.00
Island,3,$8638.43
Clark,0,$0.00
Kittitas,1,$944.37
Douglas,0,$0.00
Garfield,0,$0.00
Cowlitz,4,$4376.26
Walla Walla,0,$0.00
Benton,0,$0.00
Snohomish,4,$3420.62
Chelan,0,$0.00
King,8,$30623.82
Grant,0,$0.00
Spokane,0,$0.00
Pend Oreille,0,$0.00
Clallam,0,$0.00
Skamania,0,$0.00
Klickitat,0,$0.00
Yakima,6,$31061.73
