Name,Total Paid Claims,Total Claim Dollars Paid
Wetzel,0,$0.00
Nicholas,0,$0.00
Clay,0,$0.00
Berkeley,1,$2316.97
Tyler,0,$0.00
Fayette,0,$0.00
Kanawha,11,$74624.53
Brooke,0,$0.00
Ohio,0,$0.00
Lincoln,4,$40711.48
Monongalia,0,$0.00
Harrison,1,$28083.96
Hampshire,0,$0.00
Pendleton,0,$0.00
Grant,0,$0.00
Hardy,0,$0.00
Summers,0,$0.00
Cabell,4,$81981.97
Mason,0,$0.00
Webster,0,$0.00
Greenbrier,0,$0.00
Lewis,0,$0.00
Preston,0,$0.00
Doddridge,0,$0.00
Gilmer,0,$0.00
Roane,0,$0.00
Barbour,1,$1084.73
Mercer,0,$0.00
McDowell,1,$3652.35
Wyoming,1,$5151.51
Mingo,16,$205911.34
Pleasants,0,$0.00
Ritchie,0,$0.00
Wood,0,$0.00
Wayne,0,$0.00
Tucker,0,$0.00
Wirt,0,$0.00
Calhoun,0,$0.00
Taylor,0,$0.00
Randolph,2,$8318.85
Putnam,2,$76606.54
Raleigh,0,$0.00
Hancock,0,$0.00
Mineral,2,$5954.07
Pocahontas,0,$0.00
Braxton,0,$0.00
Jefferson,0,$0.00
Marion,0,$0.00
Monroe,0,$0.00
Marshall,0,$0.00
Jackson,1,$21368.86
Morgan,0,$0.00
Upshur,1,$2721.91
Logan,0,$0.00
Boone,0,$0.00
