Name,Total Paid Claims,Total Claim Dollars Paid
Sauk,0,$0.00
Iowa,0,$0.00
Ashland,0,$0.00
Bayfield,1,$12090.45
Sawyer,1,$1594.20
Columbia,0,$0.00
Adams,0,$0.00
Oneida,0,$0.00
Price,0,$0.00
Chippewa,0,$0.00
Clark,0,$0.00
Outagamie,1,$37302.80
Shawano,0,$0.00
Lincoln,0,$0.00
Jefferson,0,$0.00
Dodge,3,$8575.48
Vilas,0,$0.00
Forest,1,$25047.84
Green Lake,0,$0.00
Waushara,0,$0.00
Green,0,$0.00
Rock,0,$0.00
Walworth,0,$0.00
Barron,0,$0.00
Pierce,1,$13200.00
Dunn,0,$0.00
Rusk,0,$0.00
Taylor,0,$0.00
Racine,2,$13830.60
Jackson,0,$0.00
Eau Claire,0,$0.00
Oconto,0,$0.00
Brown,0,$0.00
Milwaukee,5,$11488.41
Ozaukee,2,$12678.07
Richland,0,$0.00
Crawford,0,$0.00
Waukesha,0,$0.00
Juneau,0,$0.00
Vernon,0,$0.00
Dane,1,$3387.38
Iron,1,$10347.23
Waupaca,1,$29479.98
Winnebago,3,$9059.95
Kewaunee,0,$0.00
Portage,0,$0.00
Calumet,1,$1291.55
La Crosse,1,$3846.43
Marathon,0,$0.00
Burnett,0,$0.00
Trempealeau,1,$25192.28
Washburn,1,$12552.27
Pepin,0,$0.00
Wood,0,$0.00
Grant,0,$0.00
Lafayette,0,$0.00
Sheboygan,0,$0.00
Marquette,0,$0.00
Langlade,0,$0.00
Menominee,0,$0.00
Washington,0,$0.00
St. Croix,5,$30043.63
Florence,0,$0.00
Fond du Lac,3,$63423.32
Monroe,0,$0.00
Buffalo,0,$0.00
Door,1,$7946.01
Polk,0,$0.00
Marinette,0,$0.00
Douglas,0,$0.00
Kenosha,0,$0.00
Manitowoc,0,$0.00
